mass C_12 C_13 C_14 N_13 N_14 N_15 O_14 O_15 O_16 O_17 O_18 F_18 Mg_24 Mg_25 Mg_26 Mg_27 Al_26 Al_27 Al_28 Al_29 Al_30 Si_28 Si_29 Si_30 Si_31 Si_32 P_29 P_30 P_31 P_32 P_33 P_34 S_32 S_33 S_34 Ca_40 Ar_44 K_44 Ca_44 Sc_46 Ti_46 Ca_46 K_46 Ar_46 K_47 Ca_47 Ti_47 Sc_47 V_47 K_48 Ca_48 Sc_48 Ti_48 V_48 Ca_49 Sc_49 Ti_49 V_49 Ca_50 Sc_50 Ti_50 V_50
0.181071 3.78445e-09 1.24194e-14 8.80089e-16 6.45961e-19 1.60439e-14 4.6744e-15 1.00338e-24 3.34633e-18 7.05858e-08 1.3081e-14 7.85255e-17 3.18651e-19 2.74799e-07 1.19245e-09 2.58622e-09 4.74781e-13 6.33243e-13 8.68543e-09 4.4753e-11 1.84974e-11 0 0.000128945 8.87232e-06 0.000143335 2.58617e-08 3.41851e-09 4.07381e-13 7.47026e-10 6.47702e-06 1.03451e-07 1.72186e-07 3.44449e-12 2.02347e-05 4.31024e-06 0.000451882 1.15846e-07 7.2472e-21 6.50543e-15 9.62939e-07 1.1929e-08 5.70478e-06 1.31439e-08 8.47115e-20 0 0 3.24129e-11 4.32941e-06 1.39891e-07 9.15523e-10 0 1.49129e-11 3.22295e-09 0.000974385 3.98737e-08 6.26015e-17 7.28728e-09 2.79629e-05 3.83292e-05 0 1.13754e-13 0.000503942 1.70597e-05
0.235669 3.55829e-09 4.55351e-15 2.42289e-16 3.77025e-19 1.2151e-14 1.61051e-15 4.0204e-25 4.58803e-18 1.05317e-07 7.12939e-15 9.53204e-18 1.55605e-19 4.01732e-07 1.19822e-09 1.92257e-09 1.43209e-13 7.74479e-13 8.7483e-09 2.53765e-11 6.86363e-12 0 0.000265209 1.21806e-05 0.000162791 1.47711e-08 1.10617e-09 7.20075e-13 1.06523e-09 9.20592e-06 8.14249e-08 1.15634e-07 9.28559e-13 3.84247e-05 6.15237e-06 0.000570486 2.25163e-07 3.95448e-23 4.44292e-16 6.27554e-07 5.62088e-09 7.85563e-06 3.22857e-09 5.35872e-22 0 0 2.96392e-12 4.13661e-06 5.63711e-08 1.31446e-09 0 8.34169e-13 6.68564e-10 0.000824253 4.30452e-08 4.32442e-19 9.93166e-10 1.4572e-05 4.0719e-05 0 3.29617e-15 0.000195982 1.25458e-05
0.290079 3.13196e-09 2.20023e-15 9.82872e-17 2.6814e-19 8.8871e-15 8.0749e-16 2.72935e-25 5.66696e-18 1.23529e-07 4.14842e-15 2.82928e-18 9.21266e-20 4.8509e-07 1.18119e-09 1.41583e-09 6.19371e-14 8.88636e-13 7.7529e-09 1.59035e-11 3.35722e-12 0 0.000447465 1.44854e-05 0.000161349 8.87365e-09 4.61204e-10 1.07651e-12 1.34352e-09 1.11228e-05 6.10255e-08 7.7832e-08 3.71464e-13 5.92895e-05 7.54352e-06 0.00061265 3.49584e-07 3.81342e-24 9.60966e-17 4.44254e-07 3.27551e-09 1.0346e-05 1.25543e-09 6.02634e-23 0 0 7.49906e-13 4.0273e-06 2.95315e-08 1.80672e-09 0 1.69968e-13 2.44466e-10 0.000721268 4.69572e-08 4.76328e-20 2.91921e-10 8.96362e-06 4.28725e-05 0 5.64983e-16 9.57975e-05 9.98198e-06
0.345019 2.20009e-09 7.83756e-16 2.76817e-17 1.61068e-19 5.02892e-15 3.0818e-16 1.67205e-25 6.08728e-18 1.11362e-07 1.77333e-15 5.72718e-19 4.26379e-20 4.65838e-07 1.02905e-09 7.74099e-10 1.85838e-14 9.48173e-13 5.20922e-09 7.85709e-12 1.19151e-12 0 0.000634715 1.38183e-05 0.000121352 3.85521e-09 1.2896e-10 1.42946e-12 1.44696e-09 1.07504e-05 3.39823e-08 3.97993e-08 1.07811e-13 7.53759e-05 7.81119e-06 0.000498052 4.54744e-07 2.08264e-25 1.35155e-17 2.97305e-07 1.79901e-09 1.4534e-05 4.23409e-10 5.08484e-24 0 0 1.57293e-13 3.99522e-06 1.42301e-08 2.7964e-09 0 2.73931e-14 7.83384e-11 0.000610058 5.53075e-08 3.96507e-21 7.1781e-11 5.10812e-06 4.5967e-05 0 7.7419e-17 4.15692e-05 7.84027e-06
0.37011 1.76214e-09 4.51815e-16 1.41294e-17 1.2144e-19 3.6026e-15 1.85761e-16 1.28969e-25 5.96954e-18 9.87143e-08 1.10886e-15 2.5222e-19 2.80022e-20 4.29633e-07 9.49282e-10 5.44504e-10 9.80404e-15 9.67927e-13 4.0581e-09 5.48894e-12 6.90692e-13 0 0.000711227 1.2808e-05 0.000100289 2.45632e-09 6.61366e-11 1.57029e-12 1.43467e-09 1.00481e-05 2.43349e-08 2.82115e-08 5.84729e-14 8.00968e-05 7.80446e-06 0.000425064 4.93733e-07 4.91619e-26 5.10314e-18 2.4845e-07 1.36387e-09 1.70854e-05 2.50175e-10 1.6122e-24 0 0 7.41452e-14 3.96906e-06 9.97326e-09 3.46982e-09 0 1.13026e-14 4.51026e-11 0.000556577 6.01708e-08 1.19962e-21 3.62629e-11 3.85988e-06 4.71451e-05 0 2.96876e-17 2.77389e-05 6.94685e-06
0.396369 1.40533e-09 2.54067e-16 6.99631e-18 9.02699e-20 2.52344e-15 1.10773e-16 9.77021e-26 5.76688e-18 8.69506e-08 6.78316e-16 1.08499e-19 1.79302e-20 3.97177e-07 8.97503e-10 3.80776e-10 5.08895e-15 1.01001e-12 3.16756e-09 3.92149e-12 3.98664e-13 0 0.000809819 1.19902e-05 8.42157e-05 1.57263e-09 3.38519e-11 1.73842e-12 1.43277e-09 9.53012e-06 1.75332e-08 2.07392e-08 3.25048e-14 8.63938e-05 8.16378e-06 0.000367537 5.4752e-07 1.12467e-26 1.91774e-18 2.10044e-07 1.03351e-09 2.02459e-05 1.46499e-10 5.06488e-25 0 0 3.43053e-14 3.94778e-06 6.93551e-09 4.31998e-09 0 4.55019e-15 2.55448e-11 0.000506719 6.55506e-08 3.49283e-22 1.79361e-11 2.88858e-06 4.81569e-05 0 1.10131e-17 1.84083e-05 6.10666e-06
0.45125 7.97484e-10 6.78216e-17 1.40183e-18 4.38312e-20 1.0462e-15 3.50138e-17 4.92912e-26 4.67346e-18 5.98041e-08 2.15932e-16 1.69268e-20 6.30985e-21 3.08694e-07 7.78722e-10 1.64733e-10 1.17426e-15 1.07025e-12 1.77893e-09 1.98071e-12 1.18493e-13 0 0.00100221 9.82823e-06 5.71704e-05 6.01419e-10 8.0982e-12 2.00812e-12 1.33953e-09 8.28823e-06 8.57978e-09 1.18627e-08 1.02927e-14 9.79419e-05 9.80669e-06 0.000267064 7.01003e-07 0 2.62927e-19 1.47732e-07 5.69471e-10 2.87256e-05 4.72124e-11 4.56397e-26 0 0 6.71278e-15 3.86161e-06 3.2002e-09 6.74796e-09 0 6.6219e-16 7.60872e-12 0.000409162 7.78725e-08 2.56154e-23 4.01019e-12 1.5408e-06 4.91217e-05 0 1.34007e-18 7.74482e-06 4.53808e-06
0.505954 4.0233e-10 1.58803e-17 2.39944e-19 1.86369e-20 3.65714e-16 1.03432e-17 2.16446e-26 3.11887e-18 3.60284e-08 6.03266e-17 2.39147e-21 1.96723e-21 2.10596e-07 6.16497e-10 6.35015e-11 2.43185e-16 1.02316e-12 9.32076e-10 1.01217e-12 3.23123e-14 0 0.00111394 7.30354e-06 3.86871e-05 2.30001e-10 1.95516e-12 1.94625e-12 1.12028e-09 7.07741e-06 4.16552e-09 7.6194e-09 3.67343e-15 0.000107303 1.3043e-05 0.000202581 9.9042e-07 0 4.3023e-20 9.9345e-08 2.97819e-10 3.90006e-05 1.48206e-11 4.07827e-27 0 0 1.28342e-15 3.62585e-06 1.43334e-09 9.95357e-09 0 9.45727e-17 2.1978e-12 0.000317211 8.89656e-08 1.84681e-24 8.73884e-13 7.9261e-07 4.74953e-05 0 1.59381e-19 3.20273e-06 3.20538e-06
0.525915 3.25442e-10 9.68942e-18 1.29635e-19 1.40804e-20 2.54661e-16 7.00582e-18 1.64765e-26 2.72061e-18 3.10045e-08 3.92681e-17 1.15699e-21 1.33714e-21 1.78831e-07 5.55506e-10 4.42905e-11 1.35816e-16 9.82987e-13 7.35666e-10 8.0506e-13 2.00948e-14 0 0.00114563 6.50838e-06 3.4118e-05 1.65054e-10 1.20331e-12 1.89298e-12 1.03742e-09 6.76206e-06 3.27907e-09 6.77921e-09 2.64321e-15 0.000112524 1.50207e-05 0.00018979 1.18604e-06 0 2.37645e-20 8.52431e-08 2.32935e-10 4.30932e-05 9.71876e-12 1.69286e-27 0 0 7.03979e-16 3.51254e-06 1.06666e-09 1.12801e-08 0 4.67537e-17 1.39594e-12 0.000286899 9.23331e-08 7.12544e-25 5.01869e-13 6.18998e-07 4.63481e-05 0 7.35275e-20 2.32139e-06 2.79462e-06
0.549589 2.86005e-10 6.08364e-18 6.99257e-20 1.13387e-20 1.84399e-16 5.07403e-18 1.33168e-26 2.54831e-18 2.92707e-08 2.663e-17 4.94779e-22 9.55815e-22 1.47057e-07 4.89724e-10 2.92122e-11 6.91061e-17 9.30161e-13 5.66975e-10 6.30243e-13 1.16524e-14 0 0.00119554 5.74758e-06 3.04568e-05 1.15534e-10 7.12066e-13 1.83722e-12 9.5377e-10 6.60585e-06 2.57615e-09 6.19333e-09 1.87947e-15 0.000122995 1.85008e-05 0.000185626 1.57225e-06 0 1.26322e-20 7.15329e-08 1.74784e-10 4.8468e-05 5.96103e-12 0 0 0 3.49812e-16 3.38657e-06 7.56848e-10 1.30018e-08 0 2.05722e-17 8.21721e-13 0.000255277 9.62051e-08 2.338e-25 2.62512e-13 4.63487e-07 4.48977e-05 0 2.96892e-20 1.59605e-06 2.3713e-06
