mass	C_12	C_13	C_14	N_14	N_15	Mg_24	Mg_25	Mg_26	Mg_27	Al_26	Al_27	Si_28	Si_29	Si_30	Si_32	S_32	S_33	S_34	Ca_40	Ar_44	K_44	Ca_44	Sc_46	Ti_46	Ca_47	Sc_47	Ti_47	Sc_48	Ti_48	Ca_49	Sc_49	Ti_49	Ca_50	Sc_50	Ti_50
0.290079	3.13E-09	2.20E-15	9.83E-17	8.89E-15	8.07E-16	4.85E-07	1.18E-09	1.42E-09	6.19E-14	8.89E-13	7.75E-09	0.000447465	1.45E-05	0.000161349	4.61E-10	5.93E-05	7.54E-06	0.00061265	3.50E-07	3.81E-24	9.61E-17	4.44E-07	3.28E-09	1.03E-05	7.50E-13	2.95E-08	4.03E-06	2.44E-10	0.000721268	4.76E-20	2.92E-10	8.96E-06	0	5.65E-16	9.58E-05
0.345019	2.20E-09	7.84E-16	2.77E-17	5.03E-15	3.08E-16	4.66E-07	1.03E-09	7.74E-10	1.86E-14	9.48E-13	5.21E-09	0.000634715	1.38E-05	0.000121352	1.29E-10	7.54E-05	7.81E-06	0.000498052	4.55E-07	2.08E-25	1.35E-17	2.97E-07	1.80E-09	1.45E-05	1.57E-13	1.42E-08	4.00E-06	7.83E-11	0.000610058	3.97E-21	7.18E-11	5.11E-06	0	7.74E-17	4.16E-05
0.37011	1.76E-09	4.52E-16	1.41E-17	3.60E-15	1.86E-16	4.30E-07	9.49E-10	5.45E-10	9.80E-15	9.68E-13	4.06E-09	0.000711227	1.28E-05	0.000100289	6.61E-11	8.01E-05	7.80E-06	0.000425064	4.94E-07	4.92E-26	5.10E-18	2.48E-07	1.36E-09	1.71E-05	7.41E-14	9.97E-09	3.97E-06	4.51E-11	0.000556577	1.20E-21	3.63E-11	3.86E-06	0	2.97E-17	2.77E-05
0.396369	1.41E-09	2.54E-16	7.00E-18	2.52E-15	1.11E-16	3.97E-07	8.98E-10	3.81E-10	5.09E-15	1.01E-12	3.17E-09	0.000809819	1.20E-05	8.42E-05	3.39E-11	8.64E-05	8.16E-06	0.000367537	5.48E-07	1.12E-26	1.92E-18	2.10E-07	1.03E-09	2.02E-05	3.43E-14	6.94E-09	3.95E-06	2.55E-11	0.000506719	3.49E-22	1.79E-11	2.89E-06	0	1.10E-17	1.84E-05
0.45125	7.97E-10	6.78E-17	1.40E-18	1.05E-15	3.50E-17	3.09E-07	7.79E-10	1.65E-10	1.17E-15	1.07E-12	1.78E-09	0.00100221	9.83E-06	5.72E-05	8.10E-12	9.79E-05	9.81E-06	0.000267064	7.01E-07	0	2.63E-19	1.48E-07	5.69E-10	2.87E-05	6.71E-15	3.20E-09	3.86E-06	7.61E-12	0.000409162	2.56E-23	4.01E-12	1.54E-06	0	1.34E-18	7.74E-06
0.505954	4.02E-10	1.59E-17	2.40E-19	3.66E-16	1.03E-17	2.11E-07	6.16E-10	6.35E-11	2.43E-16	1.02E-12	9.32E-10	0.00111394	7.30E-06	3.87E-05	1.96E-12	0.000107303	1.30E-05	0.000202581	9.90E-07	0	4.30E-20	9.93E-08	2.98E-10	3.90E-05	1.28E-15	1.43E-09	3.63E-06	2.20E-12	0.000317211	1.85E-24	8.74E-13	7.93E-07	0	1.59E-19	3.20E-06
0.525915	3.25E-10	9.69E-18	1.30E-19	2.55E-16	7.01E-18	1.79E-07	5.56E-10	4.43E-11	1.36E-16	9.83E-13	7.36E-10	0.00114563	6.51E-06	3.41E-05	1.20E-12	0.000112524	1.50E-05	0.00018979	1.19E-06	0	2.38E-20	8.52E-08	2.33E-10	4.31E-05	7.04E-16	1.07E-09	3.51E-06	1.40E-12	0.000286899	7.13E-25	5.02E-13	6.19E-07	0	7.35E-20	2.32E-06
0.549589	2.86E-10	6.08E-18	6.99E-20	1.84E-16	5.07E-18	1.47E-07	4.90E-10	2.92E-11	6.91E-17	9.30E-13	5.67E-10	0.00119554	5.75E-06	3.05E-05	7.12E-13	0.000122995	1.85E-05	0.000185626	1.57E-06	0	1.26E-20	7.15E-08	1.75E-10	4.85E-05	3.50E-16	7.57E-10	3.39E-06	8.22E-13	0.000255277	2.34E-25	2.63E-13	4.63E-07	0	2.97E-20	1.60E-06
0.601578	3.87E-10	3.93E-18	3.10E-20	1.54E-16	4.86E-18	8.51E-08	3.31E-10	1.11E-11	1.51E-17	7.29E-13	3.14E-10	0.00124679	4.24E-06	2.50E-05	2.55E-13	0.000158801	3.17E-05	0.000206749	3.77E-06	0	4.15E-21	4.62E-08	8.87E-11	5.91E-05	7.38E-17	3.44E-10	2.98E-06	2.50E-13	0.000189654	2.01E-26	6.22E-14	2.38E-07	0	4.02E-21	6.90E-07
0.618223	4.61E-10	3.70E-18	2.55E-20	1.54E-16	5.31E-18	6.77E-08	2.77E-10	7.86E-12	8.97E-18	6.40E-13	2.54E-10	0.00122322	3.76E-06	2.34E-05	1.87E-13	0.000172545	3.78E-05	0.000220358	5.33E-06	0	3.17E-21	3.91E-08	6.96E-11	6.10E-05	4.39E-17	2.62E-10	2.78E-06	1.67E-13	0.00016862	9.03E-27	3.87E-14	1.89E-07	0	2.09E-21	5.20E-07
0.631977	5.27E-10	3.48E-18	2.13E-20	1.51E-16	5.72E-18	5.54E-08	2.36E-10	5.91E-12	5.85E-18	5.67E-13	2.13E-10	0.00120077	3.41E-06	2.24E-05	1.48E-13	0.000187267	4.43E-05	0.000239174	7.39E-06	0	2.70E-21	3.41E-08	5.70E-11	6.24E-05	2.86E-17	2.08E-10	2.62E-06	1.20E-13	0.000152775	4.68E-27	2.61E-14	1.56E-07	0	1.22E-21	4.13E-07
0.673152	7.30E-10	2.71E-18	1.11E-20	1.28E-16	6.98E-18	2.71E-08	1.31E-10	2.36E-12	1.54E-18	3.52E-13	1.19E-10	0.00105172	2.49E-06	1.93E-05	7.71E-14	0.000235862	7.00E-05	0.000318806	2.19E-05	1.66E-32	2.08E-21	2.29E-08	3.14E-11	6.24E-05	7.66E-18	1.00E-10	2.07E-06	4.29E-14	0.00010841	0	7.87E-15	8.47E-08	0	2.40E-22	2.01E-07
0.717781	8.99E-10	1.81E-18	4.95E-21	9.08E-17	7.60E-18	1.03E-08	5.76E-11	7.60E-13	3.21E-19	1.76E-13	5.31E-11	0.000767704	1.68E-06	1.38E-05	3.58E-14	0.000261038	9.93E-05	0.000379902	6.61E-05	4.71E-27	1.69E-21	1.83E-08	1.90E-11	5.42E-05	1.69E-18	4.08E-11	1.42E-06	1.28E-14	6.38E-05	0	1.92E-15	3.84E-08	0	3.76E-23	8.39E-08
0.77268	9.96E-10	1.02E-18	1.80E-21	5.63E-17	6.84E-18	2.94E-09	1.98E-11	2.03E-13	5.30E-20	7.09E-14	1.75E-11	0.000469509	1.09E-06	7.91E-06	1.39E-14	0.000240789	0.000122236	0.000368153	0.000179688	0	1.19E-21	2.22E-08	1.68E-11	4.16E-05	3.17E-19	1.42E-11	8.38E-07	3.08E-15	2.39E-05	0	2.98E-16	1.14E-08	0	3.64E-24	2.54E-08
0.827602	1.00E-09	6.04E-19	8.91E-22	3.91E-17	4.94E-18	1.35E-09	1.04E-11	9.91E-14	1.84E-20	4.10E-14	8.10E-12	0.000397493	9.64E-07	5.80E-06	7.75E-15	0.000233304	0.000150397	0.000340036	0.000282641	0	8.15E-22	2.31E-08	1.54E-11	2.89E-05	9.77E-20	6.32E-12	5.01E-07	1.06E-15	7.14E-06	0	5.45E-17	3.07E-09	0	4.75E-25	8.35E-09
0.882544	9.67E-10	3.94E-19	6.76E-22	3.24E-17	3.00E-18	1.26E-09	1.02E-11	8.61E-14	1.40E-20	4.00E-14	6.72E-12	0.000591128	1.34E-06	7.07E-06	7.71E-15	0.000290173	0.000219245	0.000371687	0.000235456	0	6.01E-22	1.56E-08	1.07E-11	1.99E-05	5.60E-20	4.57E-12	3.55E-07	7.30E-16	2.81E-06	0	2.11E-17	1.26E-09	0	1.50E-25	4.39E-09
0.93748	1.17E-09	3.34E-19	7.00E-22	2.78E-17	2.33E-18	1.32E-09	9.98E-12	9.47E-14	1.66E-20	3.42E-14	6.53E-12	0.000910832	1.91E-06	1.03E-05	1.06E-14	0.000359242	0.000279739	0.000468389	0.000123563	0	7.11E-22	1.08E-08	8.90E-12	1.83E-05	8.58E-20	7.63E-12	4.10E-07	1.46E-15	2.18E-06	0	2.65E-17	1.17E-09	0	1.77E-25	5.14E-09
0.951235	1.34E-09	3.48E-19	7.28E-22	2.66E-17	2.42E-18	1.30E-09	9.56E-12	9.87E-14	1.81E-20	3.13E-14	6.47E-12	0.000985314	2.04E-06	1.14E-05	1.19E-14	0.000373727	0.000288537	0.000506501	0.000101873	0	8.19E-22	1.03E-08	9.07E-12	1.84E-05	1.10E-19	9.62E-12	4.50E-07	1.98E-15	2.22E-06	0	3.26E-17	1.28E-09	0	2.19E-25	6.04E-09
1.00017	2.25E-09	4.58E-19	7.60E-22	1.96E-17	3.16E-18	1.79E-09	1.18E-11	1.28E-13	2.94E-20	3.29E-14	9.48E-12	0.00110651	2.32E-06	1.53E-05	1.78E-14	0.000399429	0.00029352	0.00067112	5.54E-05	0	1.76E-21	1.02E-08	1.19E-11	1.73E-05	3.04E-19	2.30E-11	6.05E-07	6.62E-15	2.36E-06	0	7.85E-17	1.85E-09	0	5.71E-25	1.28E-08
1.04638	2.20E-09	4.09E-19	3.21E-22	5.34E-18	3.23E-18	9.60E-10	5.49E-12	9.22E-14	2.80E-20	1.26E-14	7.36E-12	0.000574348	1.36E-06	1.38E-05	2.25E-14	0.000311359	0.000206565	0.00102005	3.46E-05	0	6.78E-21	1.84E-08	2.78E-11	5.36E-06	5.94E-19	2.09E-11	2.79E-07	9.30E-15	5.00E-06	0	4.07E-16	5.35E-09	0	3.43E-24	3.79E-08
1.0979	2.29E-09	3.90E-19	1.77E-22	2.51E-18	2.78E-18	1.35E-09	8.43E-12	9.65E-14	3.45E-20	2.00E-14	1.23E-11	0.000499453	1.11E-06	1.35E-05	2.46E-14	0.000306134	0.000214161	0.00152417	1.63E-05	0	1.11E-20	1.17E-08	2.60E-11	5.45E-06	1.21E-18	5.30E-11	4.00E-07	3.50E-14	5.23E-05	0	9.42E-15	7.76E-08	0	8.63E-23	2.13E-07
1.15284	2.89E-09	4.00E-19	1.02E-22	1.77E-18	2.51E-18	2.96E-09	2.60E-11	1.39E-13	4.90E-20	8.34E-14	2.98E-11	0.000577207	8.86E-07	1.04E-05	1.58E-14	0.000351066	0.00024398	0.00190749	1.12E-05	0	1.18E-20	1.46E-08	4.02E-11	5.83E-06	2.06E-18	9.64E-11	4.70E-07	7.62E-14	0.000130773	0	5.12E-14	3.06E-07	0	4.54E-22	1.35E-06
1.1616	4.43E-09	2.13E-18	2.84E-18	9.35E-17	1.87E-17	7.95E-05	1.56E-08	6.88E-07	6.91E-13	5.86E-13	5.01E-07	0.053673	0.00114836	0.200991	2.69E-08	0.000561148	0.000316971	0.0793767	6.84E-06	2.89E-26	4.63E-19	1.08E-06	4.61E-10	3.75E-06	7.06E-13	1.88E-08	3.09E-07	4.39E-11	0.00013812	1.79E-20	9.38E-11	3.91E-07	0	1.61E-18	0.000369774
1.1616	7.00E-09	5.18E-18	8.03E-18	2.53E-16	4.77E-17	0.000218596	4.27E-08	1.91E-06	1.93E-12	1.41E-12	1.36E-06	0.146495	0.00315617	0.55298	7.50E-08	0.000898826	0.000435449	0.214799	5.80E-09	8.02E-26	1.20E-18	2.94E-06	1.16E-09	2.67E-08	1.94E-12	5.10E-08	1.86E-08	1.20E-10	0.000128035	4.95E-20	2.40E-10	4.20E-07	0	4.14E-18	0.00100272
1.1616	7.02E-09	5.32E-18	9.00E-18	2.48E-16	5.08E-17	0.000220242	4.20E-08	1.99E-06	2.05E-12	1.30E-12	1.29E-06	0.147067	0.00317462	0.557719	8.03E-08	0.000832641	0.000379624	0.215808	5.31E-09	8.37E-26	9.65E-19	2.91E-06	1.09E-09	2.50E-08	1.96E-12	4.92E-08	1.71E-08	1.18E-10	0.000122125	5.04E-20	1.64E-10	4.08E-07	0	2.88E-18	0.000967029
