isotope  mass fraction
Re 185   9.030E-11
Re 187   1.660E-10
Os 184   5.680E-13
Os 186   5.030E-11
Os 187   3.820E-11
Os 188   4.270E-10
Os 189   5.210E-10
Os 190   8.550E-10
Os 192   1.350E-09
Ir 191   1.190E-09
Ir 193   2.020E-09
Pt 190   8.170E-13
Pt 192   5.100E-11
Pt 194   2.160E-09
Pt 195   2.230E-09
Pt 196   1.680E-09
Pt 198   4.820E-10
Au 197   9.320E-10
Hg 196   2.380E-12
Hg 198   1.710E-10
Hg 199   2.880E-10
Hg 200   3.980E-10
Hg 201   2.280E-10
Hg 202   5.160E-10
Hg 204   1.200E-10
Tl 203   2.790E-10
Tl 205   6.740E-10
Pb 204   3.150E-10
Pb 206   3.090E-09
Pb 207   3.370E-09
Pb 208   9.630E-09
Bi 209   7.610E-10
