mass	C_12	C_13	C_14	N_14	N_15	Mg_24	Mg_25	Mg_26	Mg_27	Al_26	Al_27	Si_28	Si_29	Si_30	Si_32	S_32	S_33	S_34	Ca_40	Ar_44	K_44	Ca_44	Sc_46	Ti_46	Ca_47	Sc_47	Ti_47	Sc_48	Ti_48	Ca_49	Sc_49	Ti_49	Ca_50	Sc_50	Ti_50	12C/13C	14N/15N	d29Si	d30Si	d33S	d34S	d25Mg	26Al/27Al	d44Ca	d46Ti	d47Ti	d49Ti	d50Ti
0.181071	3.78E-09	1.24E-14	8.80E-16	1.60E-14	4.67E-15	2.75E-07	1.19E-09	2.59E-09	4.75E-13	6.33E-13	8.69E-09	0.000128945	8.87E-06	0.000143335	3.42E-09	2.02E-05	4.31E-06	0.000451882	1.16E-07	7.25E-21	6.51E-15	9.63E-07	1.19E-08	5.70E-06	3.24E-11	1.40E-07	4.33E-06	3.22E-09	0.000974385	6.26E-17	7.29E-09	2.80E-05	0	1.14E-13	0.000503942	330114	4	1	31	26	465	0.033	0.309	351.469	0.06	0.05	0.383	7
0.235669	3.56E-09	4.55E-15	2.42E-16	1.22E-14	1.61E-15	4.02E-07	1.20E-09	1.92E-09	1.43E-13	7.74E-13	8.75E-09	0.000265209	1.22E-05	0.000162791	1.11E-09	3.84E-05	6.15E-06	0.000570486	2.25E-07	3.95E-23	4.44E-16	6.28E-07	5.62E-09	7.86E-06	2.96E-12	5.64E-08	4.14E-06	6.69E-10	0.000824253	4.32E-19	9.93E-10	1.46E-05	0	3.30E-15	0.000195982	846559	8	1	17	19	309	0.023	0.228	117.848	0.09	0.05	0.236	3
0.290079	3.13E-09	2.20E-15	9.83E-17	8.89E-15	8.07E-16	4.85E-07	1.18E-09	1.42E-09	6.19E-14	8.89E-13	7.75E-09	0.000447465	1.45E-05	0.000161349	4.61E-10	5.93E-05	7.54E-06	0.00061265	3.50E-07	3.81E-24	9.61E-17	4.44E-07	3.28E-09	1.03E-05	7.50E-13	2.95E-08	4.03E-06	2.44E-10	0.000721268	4.76E-20	2.92E-10	8.96E-06	0	5.65E-16	9.58E-05	1542092	12	1	10	15	215	0.018	0.190	53.734	0.14	0.06	0.166	2
0.345019	2.20E-09	7.84E-16	2.77E-17	5.03E-15	3.08E-16	4.66E-07	1.03E-09	7.74E-10	1.86E-14	9.48E-13	5.21E-09	0.000634715	1.38E-05	0.000121352	1.29E-10	7.54E-05	7.81E-06	0.000498052	4.55E-07	2.08E-25	1.35E-17	2.97E-07	1.80E-09	1.45E-05	1.57E-13	1.42E-08	4.00E-06	7.83E-11	0.000610058	3.97E-21	7.18E-11	5.11E-06	0	7.74E-17	4.16E-05	3041037	18	0	5	13	138	0.017	0.155	27.644	0.23	0.07	0.112	1
0.37011	1.76E-09	4.52E-16	1.41E-17	3.60E-15	1.86E-16	4.30E-07	9.49E-10	5.45E-10	9.80E-15	9.68E-13	4.06E-09	0.000711227	1.28E-05	0.000100289	6.61E-11	8.01E-05	7.80E-06	0.000425064	4.94E-07	4.92E-26	5.10E-18	2.48E-07	1.36E-09	1.71E-05	7.41E-14	9.97E-09	3.97E-06	4.51E-11	0.000556577	1.20E-21	3.63E-11	3.86E-06	0	2.97E-17	2.77E-05	4225147	21	0	4	12	111	0.017	0.140	21.277	0.30	0.07	0.093	1
0.396369	1.41E-09	2.54E-16	7.00E-18	2.52E-15	1.11E-16	3.97E-07	8.98E-10	3.81E-10	5.09E-15	1.01E-12	3.17E-09	0.000809819	1.20E-05	8.42E-05	3.39E-11	8.64E-05	8.16E-06	0.000367537	5.48E-07	1.12E-26	1.92E-18	2.10E-07	1.03E-09	2.02E-05	3.43E-14	6.94E-09	3.95E-06	2.55E-11	0.000506719	3.49E-22	1.79E-11	2.89E-06	0	1.10E-17	1.84E-05	5992281	24	0	3	11	89	0.017	0.125	16.221	0.39	0.08	0.076	0
0.45125	7.97E-10	6.78E-17	1.40E-18	1.05E-15	3.50E-17	3.09E-07	7.79E-10	1.65E-10	1.17E-15	1.07E-12	1.78E-09	0.00100221	9.83E-06	5.72E-05	8.10E-12	9.79E-05	9.81E-06	0.000267064	7.01E-07	0	2.63E-19	1.48E-07	5.69E-10	2.87E-05	6.71E-15	3.20E-09	3.86E-06	7.61E-12	0.000409162	2.56E-23	4.01E-12	1.54E-06	0	1.34E-18	7.74E-06	12738434	32	0	2	12	57	0.019	0.097	8.911	0.68	0.10	0.050	0
0.505954	4.02E-10	1.59E-17	2.40E-19	3.66E-16	1.03E-17	2.11E-07	6.16E-10	6.35E-11	2.43E-16	1.02E-12	9.32E-10	0.00111394	7.30E-06	3.87E-05	1.96E-12	0.000107303	1.30E-05	0.000202581	9.90E-07	0	4.30E-20	9.93E-08	2.98E-10	3.90E-05	1.28E-15	1.43E-09	3.63E-06	2.20E-12	0.000317211	1.85E-24	8.74E-13	7.93E-07	0	1.59E-19	3.20E-06	27446427	38	0	1	15	39	0.022	0.072	4.241	1.19	0.12	0.033	0
0.525915	3.25E-10	9.69E-18	1.30E-19	2.55E-16	7.01E-18	1.79E-07	5.56E-10	4.43E-11	1.36E-16	9.83E-13	7.36E-10	0.00114563	6.51E-06	3.41E-05	1.20E-12	0.000112524	1.50E-05	0.00018979	1.19E-06	0	2.38E-20	8.52E-08	2.33E-10	4.31E-05	7.04E-16	1.07E-09	3.51E-06	1.40E-12	0.000286899	7.13E-25	5.02E-13	6.19E-07	0	7.35E-20	2.32E-06	36386302	39	0	1	16	35	0.024	0.064	3.039	1.45	0.12	0.029	0
0.549589	2.86E-10	6.08E-18	6.99E-20	1.84E-16	5.07E-18	1.47E-07	4.90E-10	2.92E-11	6.91E-17	9.30E-13	5.67E-10	0.00119554	5.75E-06	3.05E-05	7.12E-13	0.000122995	1.85E-05	0.000185626	1.57E-06	0	1.26E-20	7.15E-08	1.75E-10	4.85E-05	3.50E-16	7.57E-10	3.39E-06	8.22E-13	0.000255277	2.34E-25	2.63E-13	4.63E-07	0	2.97E-20	1.60E-06	50929830	39	0	1	18	31	0.025	0.055	1.924	1.83	0.13	0.024	0
0.601578	3.87E-10	3.93E-18	3.10E-20	1.54E-16	4.86E-18	8.51E-08	3.31E-10	1.11E-11	1.51E-17	7.29E-13	3.14E-10	0.00124679	4.24E-06	2.50E-05	2.55E-13	0.000158801	3.17E-05	0.000206749	3.77E-06	0	4.15E-21	4.62E-08	8.87E-11	5.91E-05	7.38E-17	3.44E-10	2.98E-06	2.50E-13	0.000189654	2.01E-26	6.22E-14	2.38E-07	0	4.02E-21	6.90E-07	106646092	34	0	1	24	27	0.029	0.039	0.519	3.01	0.16	0.017	0
0.618223	4.61E-10	3.70E-18	2.55E-20	1.54E-16	5.31E-18	6.77E-08	2.77E-10	7.86E-12	8.97E-18	6.40E-13	2.54E-10	0.00122322	3.76E-06	2.34E-05	1.87E-13	0.000172545	3.78E-05	0.000220358	5.33E-06	0	3.17E-21	3.91E-08	6.96E-11	6.10E-05	4.39E-17	2.62E-10	2.78E-06	1.67E-13	0.00016862	9.03E-27	3.87E-14	1.89E-07	0	2.09E-21	5.20E-07	134934895	31	0	1	27	27	0.031	0.035	0.310	3.50	0.17	0.015	0
0.631977	5.27E-10	3.48E-18	2.13E-20	1.51E-16	5.72E-18	5.54E-08	2.36E-10	5.91E-12	5.85E-18	5.67E-13	2.13E-10	0.00120077	3.41E-06	2.24E-05	1.48E-13	0.000187267	4.43E-05	0.000239174	7.39E-06	0	2.70E-21	3.41E-08	5.70E-11	6.24E-05	2.86E-17	2.08E-10	2.62E-06	1.20E-13	0.000152775	4.68E-27	2.61E-14	1.56E-07	0	1.22E-21	4.13E-07	163865986	28	0	1	29	27	0.032	0.032	0.195	3.94	0.17	0.014	0
0.673152	7.30E-10	2.71E-18	1.11E-20	1.28E-16	6.98E-18	2.71E-08	1.31E-10	2.36E-12	1.54E-18	3.52E-13	1.19E-10	0.00105172	2.49E-06	1.93E-05	7.71E-14	0.000235862	7.00E-05	0.000318806	2.19E-05	1.66E-32	2.08E-21	2.29E-08	3.14E-11	6.24E-05	7.66E-18	1.00E-10	2.07E-06	4.29E-14	0.00010841	0	7.87E-15	8.47E-08	0	2.40E-22	2.01E-07	292129371	20	0	1	36	28	0.037	0.024	0.044	5.56	0.19	0.010	0
0.717781	8.99E-10	1.81E-18	4.95E-21	9.08E-17	7.60E-18	1.03E-08	5.76E-11	7.60E-13	3.21E-19	1.76E-13	5.31E-11	0.000767704	1.68E-06	1.38E-05	3.58E-14	0.000261038	9.93E-05	0.000379902	6.61E-05	4.71E-27	1.69E-21	1.83E-08	1.90E-11	5.42E-05	1.69E-18	4.08E-11	1.42E-06	1.28E-14	6.38E-05	0	1.92E-15	3.84E-08	0	3.76E-23	8.39E-08	537205285	13	0	1	46	30	0.043	0.018	0.012	8.20	0.23	0.008	0
0.77268	9.96E-10	1.02E-18	1.80E-21	5.63E-17	6.84E-18	2.94E-09	1.98E-11	2.03E-13	5.30E-20	7.09E-14	1.75E-11	0.000469509	1.09E-06	7.91E-06	1.39E-14	0.000240789	0.000122236	0.000368153	0.000179688	0	1.19E-21	2.22E-08	1.68E-11	4.16E-05	3.17E-19	1.42E-11	8.38E-07	3.08E-15	2.39E-05	0	2.98E-16	1.14E-08	0	3.64E-24	2.54E-08	1053624904	9	0	0	62	32	0.051	0.016	0.005	16.78	0.35	0.006	0
0.827602	1.00E-09	6.04E-19	8.91E-22	3.91E-17	4.94E-18	1.35E-09	1.04E-11	9.91E-14	1.84E-20	4.10E-14	8.10E-12	0.000397493	9.64E-07	5.80E-06	7.75E-15	0.000233304	0.000150397	0.000340036	0.000282641	0	8.15E-22	2.31E-08	1.54E-11	2.89E-05	9.77E-20	6.32E-12	5.01E-07	1.06E-15	7.14E-06	0	5.45E-17	3.07E-09	0	4.75E-25	8.35E-09	1795800448	8	0	0	78	30	0.058	0.018	0.003	39.14	0.71	0.006	0
0.882544	9.67E-10	3.94E-19	6.76E-22	3.24E-17	3.00E-18	1.26E-09	1.02E-11	8.61E-14	1.40E-20	4.00E-14	6.72E-12	0.000591128	1.34E-06	7.07E-06	7.71E-15	0.000290173	0.000219245	0.000371687	0.000235456	0	6.01E-22	1.56E-08	1.07E-11	1.99E-05	5.60E-20	4.57E-12	3.55E-07	7.30E-16	2.81E-06	0	2.11E-17	1.26E-09	0	1.50E-25	4.39E-09	2660333304	12	0	0	92	27	0.061	0.019	0.003	68.49	1.28	0.006	0
0.93748	1.17E-09	3.34E-19	7.00E-22	2.78E-17	2.33E-18	1.32E-09	9.98E-12	9.47E-14	1.66E-20	3.42E-14	6.53E-12	0.000910832	1.91E-06	1.03E-05	1.06E-14	0.000359242	0.000279739	0.000468389	0.000123563	0	7.11E-22	1.08E-08	8.90E-12	1.83E-05	8.58E-20	7.63E-12	4.10E-07	1.46E-15	2.18E-06	0	2.65E-17	1.17E-09	0	1.77E-25	5.14E-09	3808949865	13	0	0	94	27	0.057	0.021	0.004	81.14	1.90	0.007	0
0.951235	1.34E-09	3.48E-19	7.28E-22	2.66E-17	2.42E-18	1.30E-09	9.56E-12	9.87E-14	1.81E-20	3.13E-14	6.47E-12	0.000985314	2.04E-06	1.14E-05	1.19E-14	0.000373727	0.000288537	0.000506501	0.000101873	0	8.19E-22	1.03E-08	9.07E-12	1.84E-05	1.10E-19	9.62E-12	4.50E-07	1.98E-15	2.22E-06	0	3.26E-17	1.28E-09	0	2.19E-25	6.04E-09	4173491916	12	0	0	94	28	0.056	0.021	0.004	80.34	2.05	0.008	0
1.00017	2.25E-09	4.58E-19	7.60E-22	1.96E-17	3.16E-18	1.79E-09	1.18E-11	1.28E-13	2.94E-20	3.29E-14	9.48E-12	0.00110651	2.32E-06	1.53E-05	1.78E-14	0.000399429	0.00029352	0.00067112	5.54E-05	0	1.76E-21	1.02E-08	1.19E-11	1.73E-05	3.04E-19	2.30E-11	6.05E-07	6.62E-15	2.36E-06	0	7.85E-17	1.85E-09	0	5.71E-25	1.28E-08	5325951613	7	0	0	89	35	0.050	0.018	0.008	70.74	2.59	0.010	0
1.04638	2.20E-09	4.09E-19	3.21E-22	5.34E-18	3.23E-18	9.60E-10	5.49E-12	9.22E-14	2.80E-20	1.26E-14	7.36E-12	0.000574348	1.36E-06	1.38E-05	2.25E-14	0.000311359	0.000206565	0.00102005	3.46E-05	0	6.78E-21	1.84E-08	2.78E-11	5.36E-06	5.94E-19	2.09E-11	2.79E-07	9.30E-15	5.00E-06	0	4.07E-16	5.35E-09	0	3.43E-24	3.79E-08	5823402770	2	0	1	80	68	0.043	0.015	0.023	10.36	0.56	0.014	0
1.0979	2.29E-09	3.90E-19	1.77E-22	2.51E-18	2.78E-18	1.35E-09	8.43E-12	9.65E-14	3.45E-20	2.00E-14	1.23E-11	0.000499453	1.11E-06	1.35E-05	2.46E-14	0.000306134	0.000214161	0.00152417	1.63E-05	0	1.11E-20	1.17E-08	2.60E-11	5.45E-06	1.21E-18	5.30E-11	4.00E-07	3.50E-14	5.23E-05	0	9.42E-15	7.76E-08	0	8.63E-23	2.13E-07	6350738506	1	0	1	85	104	0.047	0.010	0.030	1.01	0.08	0.020	0
1.15284	2.89E-09	4.00E-19	1.02E-22	1.77E-18	2.51E-18	2.96E-09	2.60E-11	1.39E-13	4.90E-20	8.34E-14	2.98E-11	0.000577207	8.86E-07	1.04E-05	1.58E-14	0.000351066	0.00024398	0.00190749	1.12E-05	0	1.18E-20	1.46E-08	4.02E-11	5.83E-06	2.06E-18	9.64E-11	4.70E-07	7.62E-14	0.000130773	0	5.12E-14	3.06E-07	0	4.54E-22	1.35E-06	7825862236	1	0	1	84	113	0.067	0.008	0.055	0.43	0.04	0.031	0
1.1616	4.43E-09	2.13E-18	2.84E-18	9.35E-17	1.87E-17	7.95E-05	1.56E-08	6.88E-07	6.91E-13	5.86E-13	5.01E-07	0.053673	0.00114836	0.200991	2.69E-08	0.000561148	0.000316971	0.0793767	6.84E-06	2.89E-26	4.63E-19	1.08E-06	4.61E-10	3.75E-06	7.06E-13	1.88E-08	3.09E-07	4.39E-11	0.00013812	1.79E-20	9.38E-11	3.91E-07	0	1.61E-18	0.000369774	2250615494	6	0	104	68	2945	0.001	1.427	6.697	0.26	0.02	0.038	37
1.1616	7.00E-09	5.18E-18	8.03E-18	2.53E-16	4.77E-17	0.000218596	4.27E-08	1.91E-06	1.93E-12	1.41E-12	1.36E-06	0.146495	0.00315617	0.55298	7.50E-08	0.000898826	0.000435449	0.214799	5.80E-09	8.02E-26	1.20E-18	2.94E-06	1.16E-09	2.67E-08	1.94E-12	5.10E-08	1.86E-08	1.20E-10	0.000128035	4.95E-20	2.40E-10	4.20E-07	0	4.14E-18	0.00100272	1463432879	6	0	105	59	4976	0.001	1.457	21427.641	0.00	0.01	0.044	107
1.1616	7.02E-09	5.32E-18	9.00E-18	2.48E-16	5.08E-17	0.000220242	4.20E-08	1.99E-06	2.05E-12	1.30E-12	1.29E-06	0.147067	0.00317462	0.557719	8.03E-08	0.000832641	0.000379624	0.215808	5.31E-09	8.37E-26	9.65E-19	2.91E-06	1.09E-09	2.50E-08	1.96E-12	4.92E-08	1.71E-08	1.18E-10	0.000122125	5.04E-20	1.64E-10	4.08E-07	0	2.88E-18	0.000967029	1431030840	5	0	106	55	5396	0.001	1.600	23205.861	0.00	0.01	0.045	108
1.16179	7.03E-09	5.41E-18	9.78E-18	2.42E-16	5.39E-17	0.000221711	4.14E-08	2.05E-06	2.13E-12	1.22E-12	1.24E-06	0.147753	0.0031614	0.561748	8.35E-08	0.00078842	0.000341622	0.216802	4.98E-09	8.01E-26	9.23E-19	2.85E-06	1.01E-09	2.32E-08	1.84E-12	4.54E-08	1.56E-08	1.10E-10	0.000112648	4.75E-20	1.52E-10	3.79E-07	0	2.70E-18	0.000890478	1408166182	5	0	106	53	5725	0.001	1.722	24231.121	0.00	0.01	0.045	108
1.16198	7.03E-09	5.47E-18	1.06E-17	2.35E-16	5.71E-17	0.000223179	4.07E-08	2.12E-06	2.22E-12	1.13E-12	1.18E-06	0.148441	0.00314982	0.565782	8.70E-08	0.0007448	0.000303979	0.217799	4.66E-09	7.62E-26	8.78E-19	2.79E-06	9.29E-10	2.13E-08	1.73E-12	4.16E-08	1.41E-08	1.02E-10	0.000103164	4.43E-20	1.40E-10	3.50E-07	0	2.51E-18	0.000813563	1390588946	5	0	106	49	6088	0.001	1.863	25354.196	0.00	0.01	0.045	108
1.16217	7.03E-09	5.55E-18	1.17E-17	2.27E-16	6.10E-17	0.000224643	4.00E-08	2.18E-06	2.32E-12	1.04E-12	1.12E-06	0.149137	0.00313838	0.569818	9.09E-08	0.000703048	0.000267426	0.218805	4.35E-09	7.19E-26	8.30E-19	2.73E-06	8.50E-10	1.94E-08	1.61E-12	3.79E-08	1.26E-08	9.32E-11	9.37E-05	4.09E-20	1.28E-10	3.20E-07	0	2.32E-18	0.000736148	1371931663	4	0	106	46	6480	0.001	2.026	26537.513	0.00	0.01	0.046	107
1.16236	7.03E-09	5.63E-18	1.30E-17	2.17E-16	6.58E-17	0.000226103	3.92E-08	2.25E-06	2.41E-12	9.52E-13	1.05E-06	0.149842	0.00312741	0.573857	9.53E-08	0.000663355	0.000232139	0.219819	4.06E-09	6.73E-26	7.79E-19	2.67E-06	7.71E-10	1.75E-08	1.49E-12	3.41E-08	1.11E-08	8.48E-11	8.42E-05	3.75E-20	1.16E-10	2.91E-07	0	2.12E-18	0.000658217	1351703614	4	0	107	42	6899	0.001	2.220	27774.418	0.00	0.01	0.046	107
1.16255	7.03E-09	5.73E-18	1.46E-17	2.06E-16	7.17E-17	0.000227558	3.84E-08	2.32E-06	2.52E-12	8.58E-13	9.84E-07	0.150557	0.00311729	0.577899	1.00E-07	0.000625946	0.000198356	0.220845	3.80E-09	6.23E-26	7.25E-19	2.61E-06	6.92E-10	1.56E-08	1.36E-12	3.02E-08	9.72E-09	7.63E-11	7.47E-05	3.39E-20	1.03E-10	2.61E-07	0	1.91E-18	0.000579752	1329261321	3	0	107	38	7345	0.001	2.451	29052.235	0.00	0.01	0.047	106
1.16274	7.03E-09	5.84E-18	1.68E-17	1.93E-16	7.92E-17	0.000229006	3.75E-08	2.39E-06	2.64E-12	7.61E-13	9.10E-07	0.151283	0.00310862	0.581944	1.06E-07	0.000591093	0.000166332	0.221882	3.55E-09	5.68E-26	6.68E-19	2.55E-06	6.12E-10	1.37E-08	1.23E-12	2.64E-08	8.35E-09	6.77E-11	6.52E-05	3.00E-20	8.95E-11	2.31E-07	0	1.69E-18	0.000500731	1304338873	3	0	107	34	7815	0.001	2.730	30349.630	0.00	0.01	0.047	105
1.16293	7.03E-09	5.97E-18	1.97E-17	1.79E-16	8.94E-17	0.000230445	3.66E-08	2.47E-06	2.77E-12	6.61E-13	8.35E-07	0.152022	0.00310217	0.585995	1.13E-07	0.000559135	0.000136406	0.222934	3.32E-09	5.09E-26	6.07E-19	2.49E-06	5.32E-10	1.18E-08	1.10E-12	2.26E-08	7.01E-09	5.90E-11	5.56E-05	2.60E-20	7.59E-11	2.01E-07	0	1.46E-18	0.000421128	1275493626	2	0	107	30	8301	0.001	3.067	31632.919	0.00	0.01	0.048	103
1.16313	7.03E-09	6.13E-18	2.40E-17	1.61E-16	1.04E-16	0.00023187	3.56E-08	2.54E-06	2.92E-12	5.58E-13	7.60E-07	0.152774	0.00309909	0.59005	1.21E-07	0.000530473	0.000109002	0.224002	3.12E-09	4.41E-26	5.40E-19	2.42E-06	4.51E-10	9.95E-09	9.63E-13	1.88E-08	5.71E-09	5.02E-11	4.61E-05	2.18E-20	6.19E-11	1.70E-07	0	1.22E-18	0.000340914	1241888327	2	0	108	25	8791	0.001	3.467	32852.462	0.00	0.01	0.049	101
1.16332	7.03E-09	6.34E-18	3.06E-17	1.41E-16	1.25E-16	0.000233275	3.46E-08	2.61E-06	3.10E-12	4.52E-13	6.93E-07	0.153541	0.00310105	0.594111	1.30E-07	0.000505614	8.46E-05	0.225089	2.94E-09	3.65E-26	4.67E-19	2.36E-06	3.68E-10	8.06E-09	8.20E-13	1.50E-08	4.46E-09	4.12E-11	3.66E-05	1.73E-20	4.74E-11	1.38E-07	0	9.61E-19	0.000260053	1201351602	1	0	108	20	9267	0.001	3.916	33938.169	0.00	0.01	0.051	97
1.16351	7.03E-09	6.61E-18	4.23E-17	1.16E-16	1.63E-16	0.000234646	3.37E-08	2.69E-06	3.32E-12	3.42E-13	6.44E-07	0.154324	0.0031106	0.59818	1.41E-07	0.000485196	6.39E-05	0.226198	2.80E-09	2.75E-26	3.86E-19	2.30E-06	2.82E-10	6.19E-09	6.70E-13	1.12E-08	3.25E-09	3.19E-11	2.70E-05	1.24E-20	3.24E-11	1.06E-07	0	6.82E-19	0.000178505	1151494076	1	0	108	16	9705	0.001	4.337	34796.084	0.00	0.01	0.052	90
1.1637	7.03E-09	6.99E-18	6.62E-17	8.52E-17	2.45E-16	0.000235962	3.29E-08	2.77E-06	3.61E-12	2.27E-13	6.36E-07	0.155123	0.00313174	0.60226	1.52E-07	0.000470052	4.76E-05	0.227335	2.68E-09	1.65E-26	2.91E-19	2.24E-06	1.90E-10	4.32E-09	5.08E-13	7.37E-09	2.09E-09	2.22E-11	1.75E-05	6.85E-21	1.68E-11	7.18E-08	0	3.73E-19	9.62E-05	1088937121	1	0	108	12	10067	0.001	4.526	35307.349	0.00	0.01	0.055	75
