mass C_12 C_13 C_14 N_13 N_14 N_15 O_14 O_15 O_16 O_17 O_18 F_18 Mg_24 Mg_25 Mg_26 Mg_27 Al_26 Al_27 Al_28 Al_29 Al_30 Si_28 Si_29 Si_30 Si_31 Si_32 P_29 P_30 P_31 P_32 P_33 P_34 S_32 S_33 S_34 Ca_40 Ar_44 K_44 Ca_44 Sc_46 Ti_46 Ca_46 K_46 Ar_46 K_47 Ca_47 Ti_47 Sc_47 V_47 K_48 Ca_48 Sc_48 Ti_48 V_48 Ca_49 Sc_49 Ti_49 V_49 Ca_50 Sc_50 Ti_50 V_50
0.181071 3.79824e-09 1.24646e-14 8.83295e-16 6.48314e-19 1.61024e-14 4.69143e-15 1.00703e-24 3.35852e-18 7.08429e-08 1.31287e-14 7.88115e-17 3.19812e-19 2.758e-07 1.19679e-09 2.59564e-09 4.76511e-13 6.3555e-13 8.71707e-09 4.4916e-11 1.85648e-11 0 0.000129415 8.90464e-06 0.000143857 2.59559e-08 3.43096e-09 4.08865e-13 7.49747e-10 6.50061e-06 1.03827e-07 1.72813e-07 3.45704e-12 2.03084e-05 4.32594e-06 0.000453528 1.16268e-07 7.2736e-21 6.52913e-15 9.66447e-07 1.19724e-08 5.72556e-06 1.31917e-08 8.502e-20 0 0 3.25309e-11 4.34519e-06 1.40401e-07 9.18858e-10 0 1.49672e-11 3.23469e-09 0.000977935 4.0019e-08 6.28295e-17 7.31383e-09 2.80648e-05 3.84688e-05 0 1.14168e-13 0.000505778 1.71218e-05
0.235669 3.57125e-09 4.5701e-15 2.43172e-16 3.78398e-19 1.21952e-14 1.61638e-15 4.03504e-25 4.60474e-18 1.057e-07 7.15536e-15 9.56676e-18 1.56172e-19 4.03195e-07 1.20259e-09 1.92957e-09 1.43731e-13 7.773e-13 8.78017e-09 2.5469e-11 6.88863e-12 0 0.000266175 1.2225e-05 0.000163384 1.48249e-08 1.1102e-09 7.22698e-13 1.06912e-09 9.23946e-06 8.17215e-08 1.16055e-07 9.31941e-13 3.85647e-05 6.17479e-06 0.000572564 2.25984e-07 3.96889e-23 4.45911e-16 6.2984e-07 5.64135e-09 7.88425e-06 3.24033e-09 5.37824e-22 0 0 2.97471e-12 4.15168e-06 5.65764e-08 1.31925e-09 0 8.37207e-13 6.70999e-10 0.000827256 4.3202e-08 4.34017e-19 9.96784e-10 1.4625e-05 4.08674e-05 0 3.30818e-15 0.000196696 1.25915e-05
0.290079 3.14336e-09 2.20824e-15 9.86453e-17 2.69117e-19 8.91947e-15 8.10432e-16 2.73929e-25 5.6876e-18 1.23979e-07 4.16353e-15 2.83959e-18 9.24622e-20 4.86857e-07 1.18549e-09 1.42098e-09 6.21627e-14 8.91874e-13 7.78114e-09 1.59614e-11 3.36945e-12 0 0.000449095 1.45382e-05 0.000161937 8.90597e-09 4.62884e-10 1.08043e-12 1.34842e-09 1.11633e-05 6.12478e-08 7.81155e-08 3.72817e-13 5.95055e-05 7.571e-06 0.000614882 3.50858e-07 3.82731e-24 9.64466e-17 4.45872e-07 3.28744e-09 1.03837e-05 1.26001e-09 6.0483e-23 0 0 7.52637e-13 4.04197e-06 2.9639e-08 1.81331e-09 0 1.70588e-13 2.45356e-10 0.000723895 4.71283e-08 4.78063e-20 2.92984e-10 8.99628e-06 4.30287e-05 0 5.67041e-16 9.61465e-05 1.00183e-05
0.345019 2.2081e-09 7.86611e-16 2.77825e-17 1.61655e-19 5.04724e-15 3.09303e-16 1.67815e-25 6.10945e-18 1.11767e-07 1.77979e-15 5.74805e-19 4.27933e-20 4.67535e-07 1.0328e-09 7.76919e-10 1.86515e-14 9.51627e-13 5.22819e-09 7.88571e-12 1.19585e-12 0 0.000637027 1.38686e-05 0.000121795 3.86926e-09 1.2943e-10 1.43467e-12 1.45223e-09 1.07895e-05 3.41061e-08 3.99443e-08 1.08204e-13 7.56505e-05 7.83964e-06 0.000499867 4.56401e-07 2.09023e-25 1.35647e-17 2.98388e-07 1.80557e-09 1.45869e-05 4.24952e-10 5.10337e-24 0 0 1.57866e-13 4.00978e-06 1.4282e-08 2.80659e-09 0 2.74929e-14 7.86237e-11 0.00061228 5.55089e-08 3.97951e-21 7.20425e-11 5.12672e-06 4.61345e-05 0 7.7701e-17 4.17207e-05 7.86883e-06
0.37011 1.76856e-09 4.53461e-16 1.41809e-17 1.21883e-19 3.61573e-15 1.86438e-16 1.29439e-25 5.99129e-18 9.90739e-08 1.1129e-15 2.53139e-19 2.81042e-20 4.31198e-07 9.5274e-10 5.46488e-10 9.83976e-15 9.71453e-13 4.07288e-09 5.50893e-12 6.93208e-13 0 0.000713818 1.28547e-05 0.000100654 2.46527e-09 6.63775e-11 1.57601e-12 1.4399e-09 1.00847e-05 2.44235e-08 2.83143e-08 5.86859e-14 8.03885e-05 7.83289e-06 0.000426612 4.95532e-07 4.93409e-26 5.12173e-18 2.49355e-07 1.36883e-09 1.71477e-05 2.51087e-10 1.61808e-24 0 0 7.44153e-14 3.98352e-06 1.00096e-08 3.48246e-09 0 1.13438e-14 4.52669e-11 0.000558605 6.039e-08 1.20399e-21 3.6395e-11 3.87394e-06 4.73168e-05 0 2.97958e-17 2.784e-05 6.97215e-06
0.396369 1.41045e-09 2.54992e-16 7.0218e-18 9.05987e-20 2.53263e-15 1.11177e-16 9.8058e-26 5.78789e-18 8.72674e-08 6.80787e-16 1.08895e-19 1.79955e-20 3.98624e-07 9.00772e-10 3.82163e-10 5.10749e-15 1.01368e-12 3.1791e-09 3.93577e-12 4.00116e-13 0 0.000812769 1.20338e-05 8.45225e-05 1.57836e-09 3.39752e-11 1.74475e-12 1.43799e-09 9.56483e-06 1.7597e-08 2.08147e-08 3.26232e-14 8.67085e-05 8.19352e-06 0.000368876 5.49514e-07 1.12876e-26 1.92473e-18 2.1081e-07 1.03728e-09 2.03196e-05 1.47033e-10 5.08333e-25 0 0 3.44303e-14 3.96216e-06 6.96078e-09 4.33572e-09 0 4.56676e-15 2.56378e-11 0.000508565 6.57894e-08 3.50555e-22 1.80014e-11 2.8991e-06 4.83323e-05 0 1.10532e-17 1.84754e-05 6.1289e-06
0.45125 8.00389e-10 6.80686e-17 1.40693e-18 4.39909e-20 1.05002e-15 3.51413e-17 4.94708e-26 4.69048e-18 6.0022e-08 2.16719e-16 1.69885e-20 6.33284e-21 3.09818e-07 7.81559e-10 1.65333e-10 1.17854e-15 1.07415e-12 1.78541e-09 1.98793e-12 1.18924e-13 0 0.00100586 9.86404e-06 5.73787e-05 6.0361e-10 8.1277e-12 2.01543e-12 1.34441e-09 8.31842e-06 8.61104e-09 1.19059e-08 1.03302e-14 9.82986e-05 9.84241e-06 0.000268037 7.03556e-07 0 2.63884e-19 1.48271e-07 5.71545e-10 2.88303e-05 4.73844e-11 4.58059e-26 0 0 6.73723e-15 3.87567e-06 3.21186e-09 6.77254e-09 0 6.64602e-16 7.63643e-12 0.000410653 7.81561e-08 2.57087e-23 4.02479e-12 1.54642e-06 4.93007e-05 0 1.34495e-18 7.77303e-06 4.55462e-06
0.505954 4.03795e-10 1.59381e-17 2.40818e-19 1.87048e-20 3.67047e-16 1.03809e-17 2.17234e-26 3.13024e-18 3.61596e-08 6.05464e-17 2.40018e-21 1.9744e-21 2.11363e-07 6.18743e-10 6.37328e-11 2.44071e-16 1.02689e-12 9.35471e-10 1.01585e-12 3.243e-14 0 0.001118 7.33015e-06 3.8828e-05 2.30839e-10 1.96228e-12 1.95334e-12 1.12436e-09 7.10319e-06 4.1807e-09 7.64716e-09 3.68681e-15 0.000107694 1.30905e-05 0.000203319 9.94028e-07 0 4.31797e-20 9.97069e-08 2.98904e-10 3.91427e-05 1.48745e-11 4.09313e-27 0 0 1.2881e-15 3.63906e-06 1.43856e-09 9.98983e-09 0 9.49172e-17 2.2058e-12 0.000318367 8.92896e-08 1.85353e-24 8.77067e-13 7.95497e-07 4.76683e-05 0 1.59961e-19 3.21439e-06 3.21706e-06
0.525915 3.26627e-10 9.72471e-18 1.30107e-19 1.41317e-20 2.55588e-16 7.03134e-18 1.65365e-26 2.73052e-18 3.11174e-08 3.94112e-17 1.16121e-21 1.34201e-21 1.79482e-07 5.57529e-10 4.44518e-11 1.36311e-16 9.86568e-13 7.38346e-10 8.07993e-13 2.0168e-14 0 0.00114981 6.53209e-06 3.42423e-05 1.65655e-10 1.2077e-12 1.89988e-12 1.0412e-09 6.78669e-06 3.29101e-09 6.80391e-09 2.65284e-15 0.000112934 1.50754e-05 0.000190482 1.19036e-06 0 2.3851e-20 8.55536e-08 2.33784e-10 4.32502e-05 9.75416e-12 1.69902e-27 0 0 7.06543e-16 3.52534e-06 1.07055e-09 1.13212e-08 0 4.6924e-17 1.40103e-12 0.000287944 9.26694e-08 7.1514e-25 5.03697e-13 6.21252e-07 4.6517e-05 0 7.37954e-20 2.32984e-06 2.8048e-06
0.549589 2.87047e-10 6.1058e-18 7.01804e-20 1.138e-20 1.8507e-16 5.09252e-18 1.33653e-26 2.55759e-18 2.93774e-08 2.6727e-17 4.96581e-22 9.59296e-22 1.47593e-07 4.91508e-10 2.93186e-11 6.93578e-17 9.3355e-13 5.69041e-10 6.32538e-13 1.16949e-14 0 0.00119989 5.76852e-06 3.05677e-05 1.15955e-10 7.1466e-13 1.84392e-12 9.57245e-10 6.62992e-06 2.58554e-09 6.21589e-09 1.88631e-15 0.000123443 1.85682e-05 0.000186302 1.57798e-06 0 1.26783e-20 7.17934e-08 1.75421e-10 4.86445e-05 5.98274e-12 0 0 0 3.51086e-16 3.3989e-06 7.59605e-10 1.30491e-08 0 2.06471e-17 8.24715e-13 0.000256207 9.65555e-08 2.34652e-25 2.63468e-13 4.65176e-07 4.50612e-05 0 2.97974e-20 1.60187e-06 2.37994e-06
