"GRID","MASS","H1","HE4","H2","C12","C13","N14","N15","O16","O17","O18","F19","NE20","NE21","NE22","NA20","NA22","MG24","MG25","MG26","AL26","AL27","SI28","SI29","SI30","S32","S33","S34","S36","CL36","CL37","AR36","AR38","AR40","K39","K40","K41","CA40","CA41","CA42","CA43","CA44","CA46","CA48","TI44","TI46","TI47","TI48","TI49","TI50","V48","V49","V50","V51","CR48","CR50","CR52","CR53","CR54","MN53","MN54","MN55","FE52","FE53","FE54","FE55","FE56","FE57","FE58","FE59","FE60","FE61","CO56","CO57","CO58","CO59","CO60","CO61","CO62","NI56","NI57","NI58","NI59","NI60","NI61","NI62","NI63","NI64","NI65","NI66","ZONE","ZONENAME","O16_17","O18_16","MG25_24","MG26_24","CA42_40","CA43_40","CA44_40"
   0:    ,       0.1139587485848386,       0.0000027223690242,       0.1664178361807591,       0.0000000000000844,       0.0000006956845032,       0.0000000137097928,       0.0000006083277285,       0.0000008582454075,       0.0000107532749533,       0.0000000008112403,       0.0000000001532362,       0.0000004362777291,       0.0000143369575724,       0.0000000221632804,       0.0000000001821164,       0.0000000000000000,       0.0000001925218740,       0.0000059754073884,       0.0000198593030411,       0.0000001249701613,       0.0000079904751174,       0.0000082353453280,       0.0110596952071316,       0.0000253252616264,       0.0000070312230209,       0.0199031049031653,       0.0000628395633491,       0.0000124378070249,       0.0000000000710166,       0.0000002483071137,       0.0000000010057097,       0.0056286166817223,       0.0000012880511169,       0.0000000000250202,       0.0000940265689689,       0.0000000024864211,       0.0000000000582833,       0.0088606611429822,       0.0000019114648963,       0.0000011599796496,       0.0000001155775408,       0.0000000006780781,       0.0000000000004972,       0.0000000000000000,       0.0003564299657808,       0.0000019774714651,       0.0000020526174131,       0.0000000035842073,       0.0000000000604609,       0.0000000000270428,       0.0000034333690485,       0.0000011028729553,       0.0000000094757150,       0.0000000002350974,       0.0012834384015768,       0.0000337557740416,       0.0000000840974961,       0.0000000057928060,       0.0000000015045791,       0.0000899007734666,       0.0000022048670898,       0.0000000252863975,       0.0056615545925258,       0.0002759220949127,       0.0051380698836562,       0.0000926837562485,       0.0000059467391063,       0.0000000434107920,       0.0000000012296953,       0.0000000000027202,       0.0000000000000003,       0.0000000000000002,       0.0011309910023457,       0.0001226770074657,       0.0000086430203752,       0.0000000232766333,       0.0000000003420775,       0.0000000000022555,       0.0000000000007503,       0.6939954986274154,       0.0271180157643624,       0.0197544443518494,       0.0012821656106833,       0.0007413580188867,       0.0000065456594088,       0.0000035388025377,       0.0000000000051330,       0.0000000000016912,       0.0000000000000001,       0.0000000000000000,      1,      0.00000000,       0.0846257914582943,       0.0058886939680387,     140.2209361592053100,       0.0339041373347832,       0.0794302101778441,                     -NaN,                     -NaN
   1:    ,       0.0659761176008324,       0.0000003556204632,       0.0000075719839977,       0.0000000000000206,       0.0000309518833296,       0.0000000550260315,       0.0000000394136614,       0.0000010532757817,       0.0406379132936784,       0.0000001373936590,       0.0000000000039476,       0.0000000018282687,       0.0000319102539805,       0.0000000030261648,       0.0000000017087854,       0.0000000000000000,       0.0000000005897084,       0.0001800494338422,       0.0000040003103719,       0.0000055311200897,       0.0000002300598593,       0.0001957038653665,       0.3837138278078141,       0.0002938220633408,       0.0000404442489294,       0.3714889550209347,       0.0004148043744535,       0.0013061806463258,       0.0000000130304142,       0.0000035040241569,       0.0000013026138323,       0.0555190655244911,       0.0015001254223528,       0.0000000005693805,       0.0002645691589277,       0.0000001627689017,       0.0000000158823425,       0.0381307169470553,       0.0000162485192016,       0.0000402370361336,       0.0000000788551609,       0.0000000051110189,       0.0000000000049981,       0.0000000000000008,       0.0000176145469793,       0.0000312054980799,       0.0000004598148050,       0.0000001173649972,       0.0000000024709696,       0.0000000008493048,       0.0000028605151176,       0.0000038282681737,       0.0000001653485636,       0.0000000609551467,       0.0003796135252651,       0.0005946368869048,       0.0000674339577437,       0.0000001237431074,       0.0000000115469932,       0.0002451423228803,       0.0000140077266660,       0.0000002702096708,       0.0045344079334426,       0.0005143922341432,       0.0338266947462179,       0.0002665987135756,       0.0003014678601385,       0.0000003378838835,       0.0000000032475123,       0.0000000000073114,       0.0000000000000032,       0.0000000000000002,       0.0002595199031892,       0.0000425078017563,       0.0000011154986278,       0.0000000267183594,       0.0000000022417215,       0.0000000000039452,       0.0000000000000149,       0.0580556378772651,       0.0011694039611039,       0.0020894021414935,       0.0000059036819163,       0.0000066569651398,       0.0000000174143975,       0.0000000003019628,       0.0000000000005841,       0.0000000000000006,       0.0000000000000000,       0.0000000000000000,      2,      0.00000000,       0.0065490414784635,       0.0000054740177811,       0.2265768641648033,       0.2157186840374518,       0.2635281354604817,       0.0091091639188607,       0.0000109693607063
   2:    ,       0.2399131548946891,       0.0000000149869980,       0.0000039232566955,       0.0000000000000117,       0.0014642122445708,       0.0000001303675814,       0.0000002992262516,       0.0000195418607510,       0.7709628167910019,       0.0000001458146465,       0.0000000012729243,       0.0000002968000675,       0.0044084705437919,       0.0000006651869736,       0.0000004033562644,       0.0000000000000000,       0.0000000224778649,       0.0409684193971360,       0.0002119543880434,       0.0001735833447184,       0.0000110089257137,       0.0045835488770682,       0.1230356154877780,       0.0042110153427581,       0.0105837169980646,       0.0253428375265954,       0.0003887040214986,       0.0053392356378797,       0.0000012488558233,       0.0000027193727044,       0.0000030981083988,       0.0017937711186488,       0.0014044429798103,       0.0000000516870508,       0.0000818037396840,       0.0000003692123152,       0.0000000411650963,       0.0007109209747836,       0.0000032432298023,       0.0000291754604678,       0.0000002617045912,       0.0000005693414047,       0.0000000233504371,       0.0000000000250876,       0.0000002205523470,       0.0000142817987603,       0.0000014766289425,       0.0000023049332488,       0.0000002035652397,       0.0000011509368624,       0.0000000544399192,       0.0000007601753370,       0.0000002692234534,       0.0000008609421770,       0.0000000247820839,       0.0000173712365867,       0.0000346827036852,       0.0000002570076610,       0.0000009812840048,       0.0000059137059592,       0.0000006174450291,       0.0000016002003557,       0.0000000029246682,       0.0000000628625579,       0.0001816883102144,       0.0000190175592640,       0.0003291253418534,       0.0000137399880900,       0.0001532047222429,       0.0000005271328924,       0.0000027647314527,       0.0000000020736715,       0.0000004208057146,       0.0000076282921510,       0.0000042793352804,       0.0001312547977386,       0.0000066112039005,       0.0000160593383487,       0.0000000254803026,       0.0000000060334400,       0.0000000236421565,       0.0000146018347844,       0.0000173045291690,       0.0003091414417092,       0.0000256442452313,       0.0002609525907160,       0.0000026503092017,       0.0000432860244158,       0.0000000463268448,       0.0000002425292463,      3,      0.00000000,       0.0002793744059654,       0.0000009124999450,       0.0402335091902606,       0.0225305629588147,      28.0009613096860440,       0.0243346372311048,       0.0000164755211899
   3:    ,       0.4467983477198825,       0.0000000019023890,       0.0000031933281174,       0.0000000000000239,       0.0114310460371388,       0.0000001621368873,       0.0000011976689445,       0.0000367651185387,       0.6884688373419231,       0.0000004163716363,       0.0000001236741876,       0.0000213252054141,       0.2123246844646012,       0.0003701193826844,       0.0005338797744900,       0.0000000000000000,       0.0000015480760835,       0.0490196108786984,       0.0094527043722858,       0.0070792214406244,       0.0000290476118732,       0.0048248335878180,       0.0069563336059163,       0.0017031536332727,       0.0010659154472945,       0.0004341694803284,       0.0000082969597120,       0.0000609320970478,       0.0000038026435495,       0.0000003807111653,       0.0000333676329718,       0.0000263649921869,       0.0000490003672583,       0.0000026123547250,       0.0000094093046676,       0.0000007702464455,       0.0000015507596344,       0.0000262804300534,       0.0000005765709039,       0.0000027221984185,       0.0000012915915440,       0.0000034256984908,       0.0000003790466327,       0.0000001175446568,       0.0000000001644873,       0.0000004209837117,       0.0000004832548779,       0.0000005746129771,       0.0000011603022206,       0.0000028485711644,       0.0000000008147295,       0.0000000480516181,       0.0000000458641886,       0.0000003847269327,       0.0000000000037161,       0.0000000113683214,       0.0000052673119295,       0.0000012626542274,       0.0000080802170566,       0.0000000262249775,       0.0000000624254912,       0.0000062928431508,       0.0000000000012778,       0.0000000003039350,       0.0000025163694198,       0.0000015003690098,       0.0002659456047453,       0.0001407443393509,       0.0003938199109210,       0.0000567334567288,       0.0000365596312146,       0.0000000383548677,       0.0000002569288073,       0.0000007646239754,       0.0000006294878762,       0.0000913846390093,       0.0000226818382061,       0.0000150795101519,       0.0000001665891390,       0.0000000000904676,       0.0000000003973228,       0.0000005855649280,       0.0000006004366358,       0.0000550995557090,       0.0000638460790398,       0.0000963259716461,       0.0001011712009473,       0.0001174357038636,       0.0000023386179665,       0.0000005337959648,      4,      0.00000000,       0.0007096985863171,       0.0001024719497487,       1.8158874168130565,       0.9085214584754905,      14.7890719897718500,       0.0417339164888826,       0.0000178521682784
   4:    ,       0.4186974510698112,       0.0000000005548182,       0.0375565656636873,       0.0000000000000601,       0.2369206096876076,       0.0000011292009233,       0.0000027841098086,       0.0000095131740974,       0.6670031750227460,       0.0000000500690303,       0.0000000711801625,       0.0000007601691106,       0.0369091939109402,       0.0005083091210842,       0.0069047022279311,       0.0000000000000000,       0.0000000904293893,       0.0019385264033516,       0.0048070393771611,       0.0039995469904288,       0.0000010513388327,       0.0000728846978166,       0.0005328402065309,       0.0001808032141356,       0.0002167391743365,       0.0002161704850063,       0.0000035071025273,       0.0000379281298614,       0.0000044778992881,       0.0000000825978774,       0.0000454752395082,       0.0000243947938076,       0.0000440851208220,       0.0000048499378162,       0.0000028916222090,       0.0000003877693141,       0.0000010860604258,       0.0000255944826544,       0.0000005136327537,       0.0000022945631982,       0.0000008027878128,       0.0000032353963500,       0.0000009496025978,       0.0000001790004240,       0.0000000000077522,       0.0000003920553164,       0.0000001974290609,       0.0000003925806228,       0.0000007953224490,       0.0000025949098952,       0.0000000000168334,       0.0000000001990023,       0.0000000003737936,       0.0000002733234465,       0.0000000000000039,       0.0000000044086679,       0.0000050820867038,       0.0000010573002214,       0.0000077361876776,       0.0000000017581611,       0.0000000030731730,       0.0000048007023913,       0.0000000000000386,       0.0000000000483922,       0.0000026779466265,       0.0000006400991436,       0.0002648806062920,       0.0001032397056921,       0.0003790352841402,       0.0001174486508891,       0.0001686263101437,       0.0000297773900560,       0.0000000384817191,       0.0000000445042284,       0.0000000661002749,       0.0000569220404505,       0.0000121813111637,       0.0000242049234293,       0.0000085819194742,       0.0000000000081460,       0.0000000000426094,       0.0000005958486359,       0.0000004237745110,       0.0000476309545604,       0.0000266968247999,       0.0000610656087931,       0.0000587707180803,       0.0000888399383372,       0.0000255899848126,       0.0000184277872398,      5,      0.00000000,       0.0000794528265380,       0.0000679094957394,      34.3597955992155730,      20.5948990067321920,      12.8521102982229270,       0.0453414074626985,       0.0000170789225119
   5:    ,       0.7559172726584800,       0.0000000000312902,       0.9227604351180139,       0.0000000000000045,       0.0556631438733618,       0.0000003126937931,       0.0022673830788090,       0.0001685290119741,       0.0042752426258347,       0.0000001360865228,       0.0027025092717178,       0.0000165011751431,       0.0012248793002158,       0.0003801519189616,       0.0062385641993138,       0.0000000000000000,       0.0000000093344575,       0.0005645030826851,       0.0001495470851912,       0.0001916129013294,       0.0000011716117677,       0.0000687949405134,       0.0007357244953911,       0.0000560643090892,       0.0000407561916922,       0.0003806577551465,       0.0000056607021233,       0.0000220723534996,       0.0000003224680207,       0.0000001089980594,       0.0000047460656704,       0.0000843082890308,       0.0000197520767059,       0.0000001527286476,       0.0000036679834605,       0.0000001736729147,       0.0000005012427811,       0.0000668796718859,       0.0000008094941540,       0.0000006610693947,       0.0000001500295041,       0.0000016420753028,       0.0000000395091291,       0.0000001647333802,       0.0000000000002281,       0.0000002306948219,       0.0000001954766415,       0.0000020854227708,       0.0000005303509431,       0.0000003608940529,       0.0000000000170586,       0.0000000000327705,       0.0000000008004821,       0.0000004227313602,       0.0000000000000005,       0.0000006126989405,       0.0000152288381321,       0.0000019763769061,       0.0000015632354402,       0.0000000027896835,       0.0000000020734089,       0.0000151106117602,       0.0000000000000178,       0.0000000003096233,       0.0000632731158567,       0.0000031416340643,       0.0011421304746471,       0.0000904388544122,       0.0000556605706045,       0.0000124389239944,       0.0000060401869412,       0.0000004243953797,       0.0000000447267384,       0.0000000053552738,       0.0000000018609057,       0.0000046433848438,       0.0000004365558249,       0.0000007982599470,       0.0000000896294616,       0.0000000000008666,       0.0000000007094428,       0.0000427298722049,       0.0000043579178856,       0.0000209735850710,       0.0000035320631888,       0.0000049870454269,       0.0000019613469396,       0.0000019443242646,       0.0000002266827519,       0.0000000858779627,      6,      0.00000000,       0.0723524092181236,     695.2539407429884500,       2.4600505056207198,       2.0457277586600280,       1.5163649301743631,       0.0471393491219700,       0.0000162204875570
   6:    ,       0.4798905911970270,       0.0431915702834302,       0.9422709368757781,       0.0000000150661930,       0.0001786437858158,       0.0000542518709070,       0.0090035717918689,       0.0000003041018811,       0.0002508718576820,       0.0000004248122804,       0.0000000704688326,       0.0000000022350974,       0.0011362919682101,       0.0000035632948878,       0.0000034928876899,       0.0000000000000000,       0.0000000002968354,       0.0005653316826159,       0.0000034032186388,       0.0001359485797793,       0.0000199501938787,       0.0000700878212567,       0.0007549171369037,       0.0000397983575643,       0.0000271063618047,       0.0003959070092928,       0.0000032803362283,       0.0000186008250377,       0.0000000800195487,       0.0000000020201256,       0.0000013933126533,       0.0000912659797917,       0.0000174977139607,       0.0000000281057291,       0.0000039295078622,       0.0000000087941072,       0.0000002989031433,       0.0000712775849013,       0.0000000204844205,       0.0000004999688827,       0.0000001070396004,       0.0000016896199279,       0.0000000033592778,       0.0000001659908707,       0.0000000000000305,       0.0000002688123974,       0.0000002464212348,       0.0000025076821972,       0.0000001910432234,       0.0000001842019755,       0.0000000000063612,       0.0000000000041250,       0.0000000010518524,       0.0000004292563703,       0.0000000000000000,       0.0000008153202841,       0.0000163951061362,       0.0000018899412499,       0.0000004858029437,       0.0000000004614754,       0.0000000003663069,       0.0000147326780206,       0.0000000000000014,       0.0000000001685995,       0.0000772072043937,       0.0000000387264914,       0.0012594407450607,       0.0000300700616584,       0.0000040816847837,       0.0000000006002898,       0.0000000000001976,       0.0000000000000000,       0.0000000176160343,       0.0000000005485381,       0.0000000002786593,       0.0000040105001546,       0.0000000026755413,       0.0000000000088445,       0.0000000000019439,       0.0000000000000445,       0.0000000002794915,       0.0000551067763996,       0.0000000860812048,       0.0000219800541049,       0.0000009932514120,       0.0000031501344382,       0.0000000015276708,       0.0000008279785568,       0.0000000001010399,       0.0000000000000297,      7,      0.00000000,       1.5278132644022373,       0.2084038519290077,       0.0527183064071616,       1.4184326162447143,       1.0002532442847281,       0.0490386868153068,       0.0000158634859316
   7:    ,       8.4353622769026764,       0.6512541741699017,       0.3337435079369697,       0.0000000000952794,       0.0014039870362986,       0.0000899010500010,       0.0030110643868798,       0.0000012375670849,       0.0054074236683912,       0.0000046721481230,       0.0000095438375682,       0.0000003644396923,       0.0011679086823475,       0.0000051897760972,       0.0000731574154528,       0.0000000000000000,       0.0000000000000014,       0.0005650006009610,       0.0000642669104831,       0.0000960613262886,       0.0000000283662637,       0.0000664561339588,       0.0007549966405501,       0.0000396997928406,       0.0000270976720586,       0.0003959979671324,       0.0000032199909075,       0.0000185999048569,       0.0000000799995909,       0.0000000000000009,       0.0000013699929924,       0.0000912995329744,       0.0000174999104826,       0.0000000281042940,       0.0000039299799007,       0.0000000062384942,       0.0000002979984756,       0.0000712996723195,       0.0000000000000000,       0.0000004999974417,       0.0000001069994534,       0.0000016899913550,       0.0000000033599828,       0.0000001659991509,       0.0000000000000000,       0.0000002689986240,       0.0000002469987366,       0.0000025099871542,       0.0000001879990450,       0.0000001839990590,       0.0000000000000001,       0.0000000000000001,       0.0000000010499944,       0.0000004289978059,       0.0000000000000000,       0.0000008169958211,       0.0000163999161128,       0.0000018899903313,       0.0000004799975451,       0.0000000000000059,       0.0000000000000047,       0.0000146999248219,       0.0000000000000000,       0.0000000000000023,       0.0000772996045845,       0.0000000000000745,       0.0012599935544928,       0.0000295998485711,       0.0000039999795388,       0.0000000000000002,       0.0000000000000000,       0.0000000000000000,       0.0000000000002335,       0.0000000000000068,       0.0000000000000036,       0.0000040099794882,       0.0000000000000010,       0.0000000000000001,       0.0000000000000000,       0.0000000000000000,       0.0000000000000037,       0.0000551997176292,       0.0000000000000044,       0.0000219998874589,       0.0000009719950284,       0.0000031499838865,       0.0000000000000002,       0.0000008269957695,       0.0000000000000000,       0.0000000000000000,      8,      0.00000000,       1.0096225944395889,       0.9971190025084825,       0.9958048286299049,       1.0028418840668631,       0.9999999995580863,       0.0503077415020204,       0.0000158262691783
wind:    ,       2.2087204111529157,       0.7044686849260458,       0.2804872375475618,       0.0000000346392282,       0.0020239645826350,       0.0000976091626103,       0.0013798651509595,       0.0000019120111685,       0.0064325443530324,       0.0000033715141392,       0.0000133834885340,       0.0000004536099413,       0.0011697653234082,       0.0000031939521331,       0.0000910282221459,       0.0000000000000000,       0.0000000000000000,       0.0005649974565025,       0.0000732873975115,       0.0000867573960690,       0.0000000016326116,       0.0000664049462295,       0.0007549961889634,       0.0000396997965822,       0.0000270996178789,       0.0003959979736546,       0.0000032199842842,       0.0000185999048576,       0.0000000799995908,       0.0000000000000000,       0.0000013699929922,       0.0000912995329837,       0.0000174999104843,       0.0000000281040082,       0.0000039299798973,       0.0000000062411644,       0.0000002979984757,       0.0000712996699389,       0.0000000000000000,       0.0000004999974423,       0.0000001069994527,       0.0000016899913553,       0.0000000033599828,       0.0000001659991509,       0.0000000000000000,       0.0000002689986240,       0.0000002469987365,       0.0000025099871603,       0.0000001879990390,       0.0000001839990590,       0.0000000000000000,       0.0000000000000000,       0.0000000010499944,       0.0000004289978056,       0.0000000000000000,       0.0000008169958209,       0.0000163999161110,       0.0000018899903323,       0.0000004799975447,       0.0000000000000000,       0.0000000000000000,       0.0000146999248068,       0.0000000000000000,       0.0000000000000000,       0.0000772996045962,       0.0000000000000000,       0.0012599935548671,       0.0000295998485905,       0.0000039999795393,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000040099794881,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000551997176418,       0.0000000000000000,       0.0000219998874659,       0.0000009719950280,       0.0000031499838872,       0.0000000000000000,       0.0000008269957697,       0.0000000000000000,       0.0000000000000000,      9,Wind,       0.6124561993277439,       1.1754411718235360,       1.1355820582706635,       0.9057176088156848,       1.0000000342164015,       1.0000000276331935,       1.0000000331772052
