GRID,ZONENAME,MASS,H1,HE4,H2,C12,C13,N14,N15,O16,O17,O18,F19,NE20,NE21,NE22,NA20,NA22,MG24,MG25,MG26,AL26,AL27,SI28,SI29,SI30,S32,S33,S34,S36,CL36,CL37,AR36,AR38,AR40,K39,K40,K41,CA40,CA41,CA42,CA43,CA44,CA46,CA48,TI44,TI46,TI47,TI48,TI49,Ti49+V49,TI50,,,,,Ti50_48 rel,54Cr/52Cr rel,Fe60_56,totalTi,totalTi/Cr,,totalFe/Cr,,V49,V50,V51,CR48,CR50,CR52,CR53,CR54,total_cr,cr_atweight,,MN53,MN54,MN55,FE54,FE56,tot56,,FE57,FE58,FE60,totalFe,CO56,CO57,CO58,CO59,CO60,CO61,CO62,NI56,NI57,NI58,NI59,NI60,NI61,61/58 rel,NI62,62/58 rel,NI63,NI64,64/58 rel,NI65,NI66
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O/Ne,2.51E-06,,,1.84E-07,0.999996905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32E-06,,,4.92E-07,2.890347117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14E-06,,,8.00E-07,5.111629309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E-06,,,1.11E-06,7.759081159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76E-06,,,1.42E-06,10.96836207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58E-06,,,1.73E-06,14.93954405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39E-06,,,2.03E-06,19.98049064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20E-06,,,2.34E-06,26.59074923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01E-06,,,2.65E-06,35.63823758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27E-07,,,2.96E-06,48.77553769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
